,Vapor_Pressure_Avg_2
1,1.947628
5,2.126729
9,1.886304
13,1.870746
17,1.965018
21,2.196666
25,2.412858
29,2.475797
33,2.218507
37,2.082771
41,2.132677
45,2.230194
49,2.292642
53,2.233624
57,2.287577
61,2.19418
65,2.098139
69,2.305156
73,2.342109
77,2.349868
81,2.173969
85,2.051338
89,2.095848
93,2.041668
97,2.138589
101,2.046489
105,1.886927
109,1.788855
113,1.820901
117,1.975253
121,2.178193
125,2.36405
129,2.242018
133,1.940317
137,1.878941
141,2.177787
145,2.236096
149,2.225074
153,2.164486
157,1.893849
161,2.022447
165,2.123529
169,2.163935
173,2.188436
177,1.993598
181,1.978763
185,2.05167
189,2.287032
193,2.353905
197,1.8596
201,1.833125
205,1.717945
209,1.872168
213,1.939863
217,1.991546
221,1.928709
225,1.852245
229,1.64698
233,1.657893
237,1.885121
241,2.001279
245,1.982167
249,1.722688
253,1.636557
257,1.626668
261,1.864963
265,2.040117
269,1.973719
273,1.8531
277,1.626183
281,1.797921
285,2.03178
289,2.059036
293,2.093219
297,1.796428
301,1.531216
305,1.563303
309,1.745469
313,2.069099
317,2.297104
321,1.984963
325,1.64106
329,1.618995
333,1.899641
337,2.201211
341,2.491935
345,2.391117
349,2.029523
353,2.049328
357,2.428348
361,2.546294
365,2.498857
369,2.483499
373,2.380508
377,2.260778
381,2.46049
385,2.532806
389,2.55163
393,2.444016
397,2.332165
401,2.280226
405,2.349178
409,2.458513
413,2.439498
417,2.429328
421,2.304423
425,2.447898
429,2.417151
433,2.407652
437,2.446139
441,2.413729
445,2.384882
449,2.375255
453,2.271065
457,2.232832
461,2.238358
465,2.262061
469,2.304289
473,2.235896
477,2.344963
481,2.47583
485,2.484368
489,2.330077
493,2.190509
497,2.124074
501,2.349504
505,2.07959
509,2.35731
513,2.233672
517,2.117684
521,1.843518
525,2.384953
529,2.429748
533,2.199488
537,2.152698
541,1.744055
545,1.685444
549,2.236987
553,2.568175
557,2.484718
561,2.143484
565,1.910216
569,1.664047
573,1.811424
577,1.902958
581,2.302478
585,1.982947
589,1.652235
593,1.910099
597,2.368077
601,2.446675
605,2.407846
609,2.280439
613,2.133271
617,2.020719
621,2.155869
625,2.293346
629,2.286014
633,2.188126
637,2.096842
641,1.968923
645,2.147412
649,2.213816
653,2.174805
657,2.141348
661,2.104219
665,2.022588
669,2.125131
673,2.089141
677,2.057037
681,2.103216
685,2.083942
689,2.050743
693,2.127129
697,2.144379
701,2.195469
705,2.21137
709,2.189723
713,2.085849
717,2.25725
721,2.334491
725,2.343894
729,2.181428
733,2.150241
737,2.080037
741,2.17315
745,2.244306
749,2.238633
753,2.089877
757,1.985411
761,1.931635
765,2.030469
769,2.118024
773,2.108068
777,1.80937
781,1.631491
785,1.578485
789,1.666677
793,1.108466
797,0.7977061
801,0.8065907
805,0.9203477
809,0.9348078
813,0.7395076
817,1.366426
821,1.643921
825,1.469623
829,1.427149
833,1.345316
837,1.700519
841,1.8479
845,1.864794
849,1.709617
853,1.371418
857,1.197437
861,1.49759
865,1.887164
869,1.943231
873,1.687213
877,1.565987
881,1.455029
885,1.881325
889,1.941432
893,1.969569
897,1.6123
901,1.447683
905,1.357776
909,1.506208
913,2.074474
917,1.608137
921,1.693783
925,1.445253
929,1.472589
933,1.65153
937,1.763861
941,1.660652
945,1.493132
949,1.606726
953,1.567002
957,1.681194
961,2.102779
965,2.193766
969,2.167288
973,2.044089
977,1.92296
981,1.801937
985,1.853029
989,1.969709
993,2.048503
997,1.980566
1001,1.813172
1005,2.055678
1009,1.96751
1013,2.015587
1017,1.814951
1021,1.777588
1025,1.620478
1029,1.890196
1033,1.914488
1037,1.929018
1041,1.814595
1045,1.581395
1049,1.530069
1053,1.722072
1057,1.844669
1061,1.671922
1065,1.805134
1069,1.905898
1073,1.959094
1077,1.742847
1081,1.713314
1085,1.292034
1089,1.677157
1093,1.634091
1097,1.564893
1101,1.791017
1105,1.671216
1109,1.59569
1113,1.547987
1117,1.649032
1121,1.466644
1125,1.41634
1129,1.427651
1133,1.145392
1137,1.007339
1141,0.9057478
1145,0.9114187
1149,0.8614678
1153,0.7909641
1157,0.8479803
1161,0.8504012
1165,0.9232293
1169,0.9307523
1173,1.077558
1177,1.373139
1181,1.510732
1185,1.183045
1189,1.145447
1193,1.19145
1197,1.580354
1201,1.587811
1205,1.539829
1209,1.046726
1213,0.936988
1217,0.9043071
1221,0.8935441
1225,1.266523
1229,1.192505
1233,1.310377
1237,1.386762
1241,1.567058
1245,1.467478
1249,1.563584
1253,1.513877
1257,1.452543
1261,1.557317
1265,1.353122
1269,1.800259
1273,1.801454
1277,1.736608
1281,1.560608
1285,1.414094
1289,1.39227
1293,1.476425
1297,1.352147
1301,1.056099
1305,0.9393997
1309,0.9205024
1313,0.9290112
1317,0.9377868
1321,1.308832
1325,1.20613
1329,1.15185
1333,1.141952
1337,1.065533
1341,1.371122
1345,1.442991
1349,1.405084
1353,1.260994
1357,1.188545
1361,1.082424
1365,0.8795297
1369,0.8181057
1373,0.8840171
1377,0.8487856
1381,0.8322312
1385,0.8487018
1389,0.9075977
1393,1.15441
1397,0.9941445
1401,0.9173979
1405,0.9049977
1409,0.9172128
1413,1.078241
1417,1.333546
1421,1.431453
1425,1.19368
1429,1.214537
1433,1.179129
1437,1.305679
1441,1.309342
1445,1.211538
1449,1.241706
1453,1.332165
1457,1.321627
1461,1.327673
1465,1.264943
1469,1.153016
1473,1.078478
1477,1.044444
1481,1.080812
1485,1.09893
1489,1.262468
1493,1.289747
1497,1.270339
1501,1.280755
1505,1.188027
1509,1.421183
1513,1.541229
1517,1.547715
1521,1.312443
1525,1.456037
1529,1.432948
1533,1.540665
1537,1.589776
1541,1.604309
1545,1.604552
1549,1.542012
1553,1.531508
1557,1.567416
1561,1.624039
1565,1.579733
1569,1.565556
1573,1.560992
1577,1.515039
1581,1.605434
1585,1.597251
1589,1.573111
1593,1.532599
1597,1.439023
1601,1.437842
1605,1.574102
1609,1.560676
1613,1.637679
1617,1.54029
1621,1.485195
1625,1.485419
1629,1.558306
1633,1.364209
1637,1.371318
1641,1.549461
1645,1.345075
1649,1.31844
1653,1.305623
1657,1.296794
1661,1.144246
1665,1.154086
1669,1.173805
1673,1.3891
1677,1.489299
1681,1.53239
1685,1.563364
1689,1.556164
1693,1.47036
1697,1.366358
1701,1.49779
1705,1.648754
1709,1.586242
1713,1.666526
1717,1.649752
1721,1.600484
1725,1.722802
1729,1.799322
1733,1.802954
1737,1.641275
1741,1.437016
1745,1.617232
1749,1.791368
1753,1.764115
1757,1.725336
1761,1.620072
1765,1.336721
1769,1.477961
1773,1.459869
1777,1.446468
1781,1.415263
1785,1.182795
1789,1.144688
1793,1.125849
1797,1.209866
1801,1.234922
1805,1.428502
1809,1.261359
1813,1.146674
1817,1.133915
1821,1.289528
1825,1.484815
1829,1.551986
1833,1.3447
1837,1.242356
1841,1.253125
1845,1.491524
1849,1.496854
1853,1.504159
1857,1.387625
1861,1.362532
1865,1.304055
1869,1.52593
1873,1.602173
1877,1.516688
1881,1.32687
1885,1.255649
1889,1.210158
1893,1.382544
1897,1.459684
1901,1.513666
1905,1.442105
1909,1.334886
1913,1.193936
1917,1.339677
1921,1.495875
1925,1.378416
1929,1.248576
1933,1.228033
1937,1.25894
1941,1.352539
1945,1.422621
1949,1.347523
1953,1.276854
1957,1.34699
1961,1.237902
1965,1.341742
1969,1.659995
1973,1.600134
1977,1.412437
1981,1.336866
1985,1.306815
1989,1.649007
1993,1.532569
1997,1.573652
2001,1.39763
2005,1.40095
2009,1.307609
2013,1.579541
2017,1.538952
2021,1.590278
2025,1.555453
2029,1.200954
2033,1.076603
2037,1.365595
2041,1.374927
2045,1.500953
2049,1.150187
2053,1.095343
2057,1.061262
2061,1.261968
2065,1.44492
2069,1.420693
2073,1.173571
2077,1.130261
2081,0.9881046
2085,1.288656
2089,1.485172
2093,1.345932
2097,1.170051
2101,1.019914
2105,0.9233394
2109,1.253096
2113,1.323668
2117,1.487458
2121,1.212506
2125,1.071797
2129,1.086885
2133,1.293766
2137,1.375326
2141,1.48829
2145,1.184447
2149,1.013716
2153,0.9209124
2157,1.362828
2161,1.374424
2165,1.419568
2169,1.162974
2173,0.9959202
2177,0.9692641
2181,1.183921
2185,1.54918
2189,1.371078
2193,1.263633
2197,1.07097
2201,0.9452327
2205,1.16133
2209,1.456565
2213,1.445143
2217,1.171037
2221,1.108743
2225,1.114984
2229,1.43633
2233,1.484311
2237,1.505257
2241,1.343703
2245,1.309145
2249,1.250407
2253,1.38283
2257,1.403063
2261,1.386663
2265,1.147616
2269,1.06661
2273,1.097876
2277,1.190214
2281,1.299765
2285,1.3197
2289,1.117129
2293,1.041606
2297,1.002211
2301,1.308709
2305,1.315739
2309,1.289332
2313,1.189597
2317,1.068421
2321,0.9798762
2325,1.151448
2329,1.375403
2333,1.315362
2337,1.144114
2341,1.186626
2345,1.340478
2349,1.486556
2353,1.546413
2357,1.511657
2361,1.512016
2365,1.319948
2369,1.403934
2373,1.439756
2377,1.326784
2381,1.223431
2385,1.255942
2389,1.194001
2393,1.124894
2397,1.297143
2401,1.405562
2405,1.486455
2409,1.289362
2413,1.157146
2417,1.109689
2421,1.224977
2425,1.29606
2429,1.249777
2433,1.200923
2437,1.195821
2441,1.154182
2445,1.375598
2449,1.452165
2453,1.386568
2457,1.189499
2461,1.066131
2465,1.021365
2469,1.103083
2473,1.339491
2477,1.289293
2481,0.9940463
2485,0.8623341
2489,0.8577083
2493,1.102909
2497,1.362103
2501,1.29481
2505,1.158494
2509,1.098387
2513,0.9604938
2517,1.17679
2521,1.344006
2525,1.121045
2529,1.04468
2533,0.9510911
2537,0.85739
2541,0.8484665
2545,0.9706156
2549,0.9810765
2553,1.0585
2557,0.9841743
2561,1.127498
2565,1.155457
2569,0.9646433
2573,0.8740772
2577,0.8593841
2581,0.862611
2585,0.7306126
2589,0.6903105
2593,0.6686145
2597,0.6383139
2601,0.6418955
2605,0.6527263
2609,0.593988
2613,0.6233678
2617,0.7701077
2621,0.6787984
2625,0.837464
2629,0.9443993
2633,1.072086
2637,1.101282
2641,1.215294
2645,1.186483
2649,1.062009
2653,1.01917
2657,0.8587519
2661,0.9524517
2665,0.8608738
2669,0.8807715
2673,0.6386092
2677,0.4689867
2681,0.4946666
2685,0.4314255
2689,0.5478447
2693,0.6083598
2697,0.5889378
2701,0.4877824
2705,0.5242551
2709,0.4862649
2713,0.5999849
2717,0.8157115
2721,0.8452612
2725,0.7868757
2729,0.8523835
2733,0.8819302
2737,0.8610651
2741,0.8043301
2745,0.6861761
2749,0.6881613
2753,0.684666
2757,0.7791823
2761,0.8871515
2765,0.8239254
2769,0.748674
2773,0.6156942
2777,0.6752031
2781,0.6868123
2785,0.7398957
2789,0.7417169
2793,0.6695748
2797,0.654783
2801,0.6483787
2805,0.6050256
2809,0.7696511
2813,0.7799094
2817,0.7565387
2821,0.6953777
2825,0.6020223
2829,0.8073843
2833,0.8506802
2837,0.9504756
2841,0.7952051
2845,0.7455555
2849,0.7635601
2853,0.8611851
2857,0.9443008
2861,0.9502094
2865,0.871375
2869,0.8401623
2873,0.7999343
2877,0.8092738
2881,0.8694721
2885,0.9512282
2889,0.7739019
2893,0.7164573
2897,0.6869015
2901,0.8998149
2905,0.9575968
2909,1.077835
2913,0.8856881
2917,0.828774
2921,0.7733669
2925,1.030579
2929,1.092493
2933,1.070704
2937,0.9325103
2941,1.034929
2945,0.9318277
2949,1.037704
2953,1.084017
2957,1.068161
2961,0.8705394
2965,0.6737837
2969,0.690072
2973,0.9790174
2977,1.160814
2981,1.105561
2985,0.8649321
2989,0.7672952
2993,0.706938
2997,0.9908579
3001,1.052802
3005,1.099246
3009,0.9027305
3013,0.7165785
3017,0.6954311
3021,1.233757
3025,1.269163
3029,1.174984
3033,0.990404
3037,0.9714937
3041,0.9278309
3045,1.214506
3049,1.054541
3053,1.056196
3057,0.9110932
3061,0.8921052
3065,0.8821139
3069,1.04616
3073,1.051935
3077,1.0326
3081,1.002095
3085,0.9016693
3089,0.960045
3093,1.148971
3097,1.186604
3101,1.155919
3105,1.058973
3109,0.9913255
3113,1.003813
3117,1.028838
3121,0.9768798
3125,0.9288041
3129,0.8874137
3133,0.9438237
3137,0.7721772
3141,0.8462542
3145,0.8778709
3149,0.8717973
3153,0.8801921
3157,1.01285
3161,1.018529
3165,1.052226
3169,1.064663
3173,1.029837
3177,1.025119
3181,1.017536
3185,1.060865
3189,1.057789
3193,1.11351
3197,1.075443
3201,1.039139
3205,1.08492
3209,1.042613
3213,1.128925
3217,1.145051
3221,1.096197
3225,1.079998
3229,1.092244
3233,1.096941
3237,1.209216
3241,1.269966
3245,1.291637
3249,1.285854
3253,1.261472
3257,1.233783
3261,1.263597
3265,1.266537
3269,1.27123
3273,1.274365
3277,1.157056
3281,1.20347
3285,1.101223
3289,1.274469
3293,1.301114
3297,1.307444
3301,1.265068
3305,1.059911
3309,1.230875
3313,1.296065
3317,1.328833
3321,1.281268
3325,1.339979
3329,1.292403
3333,1.307577
3337,1.303383
3341,1.294219
3345,1.297532
3349,1.320912
3353,1.327798
3357,1.174159
3361,1.167279
3365,1.289206
3369,1.355599
3373,1.394647
3377,1.381139
3381,1.29446
3385,1.146677
3389,1.21953
3393,1.363771
3397,1.362927
3401,1.375769
3405,1.267131
3409,1.229034
3413,1.252028
3417,1.268648
3421,1.400133
3425,1.306649
3429,1.240211
3433,1.205342
3437,1.195414
3441,1.313201
3445,1.273581
3449,1.480094
3453,1.383197
3457,1.343746
3461,1.324933
3465,1.350667
3469,1.376712
3473,1.346327
3477,0.65837
3481,0.6279721
3485,0.6534483
3489,0.7440553
3493,0.9618881
3497,1.021832
3501,0.945376
3505,0.7996221
3509,0.7400532
3513,0.8784236
3517,0.852595
3521,0.8101995
3525,0.7528529
3529,0.7190713
3533,0.7188434
3537,0.7399094
3541,0.9044632
3545,0.8206001
3549,0.6158583
3553,0.4898497
3557,0.431855
3561,0.433039
3565,0.4583911
3569,0.5153043
3573,0.5285526
3577,0.500874
3581,0.5224878
3585,0.6413154
3589,0.7315724
3593,0.7724882
3597,0.7080396
3601,0.6135626
3605,0.651355
3609,0.8886148
3613,1.029389
3617,0.8699423
3621,0.5277614
3625,0.5296531
3629,0.5678806
3633,0.5481596
3637,0.7765606
3641,0.7975983
3645,0.7755696
3649,0.6019532
3653,0.6293298
3657,0.7962284
3661,0.9022042
3665,0.9745686
3669,0.8924209
3673,0.833261
3677,0.9400625
3681,0.973241
3685,1.062236
3689,1.012683
3693,0.9245653
3697,0.8300146
3701,1.034177
3705,0.9925609
3709,1.149212
3713,1.203252
3717,1.136967
3721,1.048213
3725,1.114234
3729,1.116232
3733,1.10149
3737,1.157581
3741,1.314204
3745,1.201725
3749,1.22169
3753,1.039841
3757,1.257157
3761,1.147766
3765,1.08841
3769,1.070961
3773,1.277477
3777,1.359832
3781,1.528333
3785,1.468644
3789,1.41422
3793,1.393089
3797,1.231683
3801,1.329263
3805,1.405811
3809,1.276866
3813,1.28406
3817,1.212082
3821,0.990656
3825,1.096568
3829,0.8713866
3833,1.251803
3837,1.140942
3841,1.100466
3845,1.126298
3849,1.332087
3853,1.108013
3857,1.32501
3861,1.361277
3865,1.380195
3869,1.462498
3873,1.514685
3877,1.383133
3881,1.346362
3885,1.510401
3889,1.470529
3893,1.505847
3897,1.37698
3901,1.426409
3905,1.383079
3909,1.194339
3913,1.020231
3917,0.9979582
3921,1.120987
3925,1.147933
3929,1.317212
3933,1.069588
3937,1.065167
3941,1.143768
3945,1.545425
3949,1.550401
3953,1.581137
3957,1.39979
3961,1.337019
3965,1.346859
3969,1.403922
3973,1.463141
3977,1.487548
3981,1.228041
3985,1.192652
3989,1.255691
3993,1.390755
3997,1.39537
4001,1.469103
4005,1.349961
4009,1.295981
4013,1.395027
4017,1.31475
4021,1.359698
4025,1.394651
4029,1.198989
4033,1.037546
4037,1.166835
4041,1.313745
4045,1.529847
4049,1.481271
4053,1.385569
4057,1.289527
4061,1.327439
4065,1.381254
4069,1.436032
4073,1.410065
4077,1.365565
4081,1.208084
4085,1.373683
4089,1.420252
4093,1.354563
4097,1.474454
4101,1.331521
4105,1.186504
4109,1.436305
4113,1.415473
4117,1.20971
4121,1.374353
4125,1.271868
4129,1.157358
4133,1.325255
4137,1.114645
4141,1.281343
4145,1.1029
4149,1.343172
4153,1.075603
4157,1.647449
4161,1.556218
4165,1.532351
4169,1.553207
4173,1.380586
4177,1.335387
4181,1.508513
4185,1.397256
4189,1.535082
4193,1.478702
4197,1.399134
4201,1.387725
4205,1.578296
4209,1.401853
4213,1.667967
4217,1.361893
4221,1.104326
4225,1.368414
4229,1.340982
4233,1.289049
4237,1.12652
4241,1.255307
4245,1.355202
4249,1.282618
4253,1.32569
4257,1.380999
4261,1.362201
4265,1.357
4269,1.336252
4273,1.410595
4277,1.349033
4281,1.448919
4285,1.508459
4289,1.529982
4293,1.410276
4297,1.436484
4301,1.517798
4305,1.459785
4309,1.412307
4313,1.73389
4317,1.371201
4321,1.262297
4325,1.371709
4329,1.339421
4333,1.103032
4337,1.417518
4341,1.528453
4345,1.371074
4349,1.232299
4353,1.346059
4357,1.555277
4361,1.453521
4365,1.336271
4369,0.7295882
4373,0.7353168
4377,0.8853508
4381,1.168835
4385,1.176594
4389,0.9913245
4393,0.6985722
4397,1.127355
4401,1.241966
4405,1.179612
4409,1.205216
4413,1.248311
4417,1.201645
4421,1.3004
4425,1.332021
4429,1.328807
4433,1.304204
4437,1.354104
4441,1.362714
4445,1.27755
4449,1.204509
4453,1.140427
4457,1.160711
4461,1.188998
4465,1.258734
4469,1.308846
4473,1.215143
4477,1.280309
4481,1.325652
4485,1.316896
4489,1.310899
4493,1.338731
4497,1.26695
4501,1.251625
4505,1.279004
4509,1.243638
4513,1.152099
4517,1.440065
4521,1.26606
4525,1.040872
4529,1.601204
4533,1.504414
4537,1.520526
4541,1.458731
4545,1.371112
4549,1.432533
4553,1.529248
